frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
0,0,0,0.0,17,1.0,0.9546040892601013,4,6,0.9896787703037262,0.9879908263683319,False,,,,,516.9222831726074,233.94306564331055,508.1938076019287,192.31814193725586,42.53023112237704,2,1,True,492.0816993713379,173.92673873901367,59.558284759521484,132.86574172973633,521.8608417510986,240.35960960388184,532.0,242.1,10.287443255112757,0.03593070018621473,1.0,145.60389626960279,,True,,,42.07872202294196,,False,False,False,VALID_TARGET,,True,1
1,1,1,33.333333333333336,17,1.0,0.9779453873634338,4,6,0.9965393245220184,0.9928630888462067,False,,,,,513.8689975738525,243.89105606079102,502.98778343200684,195.819091796875,49.288077355400276,1,0,False,481.4755096435547,176.34911346435547,56.740936279296875,140.92613983154297,509.8459777832031,246.81218338012695,534.3076923076923,241.9230769230769,24.94551742149221,0.08696385462473526,1.0,151.92008010026467,0.15010398431820732,True,10.406011065429787,6.2737020631663745,42.07872202294196,0.16060008261036912,False,False,False,VALID_TARGET,,True,1
2,2,2,66.66666666666667,17,1.0,0.9518948793411255,4,6,0.9968140125274658,0.9871575236320496,False,,,,,508.2532501220703,247.88306427001953,500.8186864852905,199.5904769897461,48.86150553034726,1,0,False,476.74498748779297,181.7595329284668,60.398048400878906,137.33168411254883,506.9440116882324,250.4253749847412,536.6153846153846,241.74615384615385,30.91470929759236,0.10757240037142592,1.0,150.02638338580255,0.04500366511676974,True,6.890047095974484,4.350669814782702,42.07872202294196,0.010137471019686472,False,False,False,VALID_TARGET,,True,1
3,3,3,100.0,17,1.0,0.9262638688087463,4,6,0.9881403148174286,0.9869139492511749,False,,,,,501.2888526916504,242.36774826049805,495.6335325241089,201.1872444152832,41.567012680046616,1,0,False,472.9948625564575,183.77361679077148,54.50996685028076,110.31137466430664,500.2498459815979,238.9293041229248,538.9230769230769,241.56923076923078,38.763230053116644,0.1346314320563894,1.0,123.04444671072214,0.6412251935876152,True,8.883779727893055,5.425448166964096,42.07872202294196,0.17335347889899255,False,False,False,VALID_TARGET,,True,1
4,4,4,133.33333333333334,17,1.0,0.9434057474136353,4,6,0.9958270192146301,0.9919580817222595,False,,,,,502.7970027923584,243.02556610107422,498.85155391693115,199.91448593139648,43.29124392097079,1,0,False,474.96118545532227,182.93629837036133,52.86015701293945,111.48490524291992,501.391263961792,238.6787509918213,541.2307692307693,241.39230769230767,39.93181150465909,0.13843238948545725,1.0,123.38184751597556,0.008018323490658,True,1.6453695747903787,3.4605744960869393,42.07872202294196,0.04097632147630575,False,False,False,VALID_TARGET,,True,1
5,5,5,166.66666666666666,17,1.0,0.8985110521316528,4,6,0.9761213064193726,0.974980503320694,False,,,,,502.3490114212036,247.89477157592773,497.6278486251831,201.41832733154297,46.715621024962665,1,0,False,483.00407218933105,184.57413482666016,46.06735420227051,136.10250091552734,506.0377492904663,252.62538528442383,543.5384615384615,241.2153846153846,39.198106260053116,0.13563674623395575,1.0,143.68747989528723,0.48256295350986944,True,4.889770774276908,1.9388124194585485,42.07872202294196,0.08138025442229092,False,False,False,VALID_TARGET,,True,1
6,6,6,200.0,17,1.0,0.8988726735115051,4,6,0.9881672561168671,0.9858192205429077,False,,,,,502.8621187210083,248.26044845581055,501.31570053100586,201.3276824951172,46.95823601818522,1,0,False,481.0642490386963,183.0456314086914,50.02962303161621,144.21874237060547,506.0790605545044,255.15500259399414,545.8461538461538,241.03846153846155,42.19832271831768,0.14574793632115612,1.0,152.64995522975005,0.21299304977884892,True,0.6300783138576397,3.6889657311570643,42.07872202294196,0.005765740534854537,False,False,False,VALID_TARGET,,True,1
7,7,7,233.33333333333334,17,1.0,0.9361839294433594,4,6,0.9794085919857025,0.9940899908542633,False,,,,,510.44466400146484,248.00220108032227,504.28759002685547,202.6166763305664,45.80125999074167,1,0,False,475.14560890197754,188.38870239257812,56.240888595581055,137.56100463867188,503.26605319976807,257.16920471191406,548.1538461538462,240.86153846153846,47.75828655659482,0.1646464152622125,1.0,148.61382017572006,0.09591867005441423,True,7.586941718315779,3.239387640182529,42.07872202294196,0.027495512501847064,False,False,False,VALID_TARGET,,True,1
8,8,8,266.6666666666667,17,1.0,0.9309258460998535,4,6,0.9892249703407288,0.9884117543697357,False,,,,,517.4435138702393,249.72369384765625,508.19993782043457,204.50794219970703,46.150925183332404,1,0,False,478.36603927612305,187.12947845458984,60.88869857788086,140.70124053955078,508.8103885650635,257.48009872436523,550.4615384615386,240.68461538461537,44.909982724495144,0.15454114061947932,1.0,153.31103255759697,0.1116291597286609,True,7.2074570296066875,4.345497882371997,42.07872202294196,0.008309786414142796,False,False,False,VALID_TARGET,,True,1
9,9,9,300.0,17,1.0,0.9413778781890869,4,6,0.9853082001209259,0.989337146282196,False,,,,,524.8699417114258,245.1042594909668,514.9083595275879,207.73241424560547,38.67671052000923,1,0,False,483.5206928253174,192.15771484375,62.620283126831055,108.89151000976562,514.8308343887329,246.6034698486328,552.7692307692307,240.5076923076923,38.42499738129339,0.131981820910935,1.0,125.61313948425686,0.6582398832892025,True,8.745913574699514,7.443127150317017,42.07872202294196,0.17762456424527623,False,False,False,VALID_TARGET,,True,1
