frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.7996043562889099,4,6,0.9814163148403168,0.9837409555912018,False,,,,,False,,,,916.5860137939453,385.1543273925781,946.5810089111328,241.5144920349121,146.73820918103607,5,0,True,4,0.05280657630702348,0.2847790542945851,901.4675750732422,182.97779846191406,115.50410461425781,423.42652893066406,959.2196273803711,394.6910629272461,880.7142857142858,410.0,79.98407481746807,0.12233975428650602,1.0,438.89773704703913,,True,,,158.0471513952956,,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.8098641037940979,4,6,0.9694875776767731,0.9819095730781555,False,,,,,False,,,,909.1443176269531,382.9251937866211,935.3860778808594,245.1435317993164,140.25839141102173,3,0,True,2,0.02698667623961678,0.3151946579143529,896.9731597900391,188.46133422851562,116.40135192871094,425.8170471191406,955.1738357543945,401.36985778808594,879.3772893772893,410.10989010989016,76.29878509965175,0.11624008843249314,1.0,441.44017980706747,0.016086609202271358,True,7.768389696393533,11.768449786790386,158.0471513952956,0.04099926960282571,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.8434249758720398,4,6,0.9927548468112946,0.975050151348114,False,,,,,False,,,,894.4647598266602,392.0178909301758,925.3471145629883,241.5040283203125,153.64941481112515,4,0,True,3,0.6990881576382806,0.06866005639469032,818.488037109375,197.3160171508789,204.18576049804688,427.5241928100586,920.5809173583984,411.0781135559082,878.040293040293,410.2197802197802,42.549282643660284,0.06456660063245476,1.0,473.7813422118456,0.20462983432006848,True,17.267500066788756,10.678331801889419,158.0471513952956,0.08472802756571553,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.8216960430145264,4,6,0.9769187867641449,0.916432648897171,False,,,,,False,,,,892.837287902832,390.9542236328125,907.9847564697266,233.42068481445312,158.26010759702078,5,2,True,4,0.6746955717190964,0.10104942980119987,834.9063110351562,190.8082389831543,173.58901977539062,436.7983283996582,921.7008209228516,409.2074031829834,876.7032967032967,410.3296703296703,45.011517075499235,0.06803303936206564,1.0,470.02758161550116,0.02375089056148692,True,1.9442358350593494,19.151812467554333,158.0471513952956,0.02917289394456535,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.8339149355888367,4,6,0.985804945230484,0.839441329240799,False,,,,,False,,,,887.9397201538086,387.3216018676758,905.1525497436523,237.52355575561523,150.78373957917353,3,0,True,2,0.12139127162614055,0.21369871942975105,781.7157363891602,181.68142318725586,230.26595306396484,387.507511138916,896.8487129211426,375.43517875671387,875.3663003663003,410.4395604395604,41.07068037146267,0.061831797008276256,1.0,450.7598921039151,0.12191102048650773,True,6.097713566970779,4.985473387658638,158.0471513952956,0.04730466795410898,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.882261335849762,4,6,0.9943360686302185,0.8209109604358673,False,,,,,False,,,,882.1847991943359,392.0992965698242,897.7932586669922,240.99183654785156,151.91144947436192,4,0,True,3,0.06706729210695797,0.3799688398128153,760.9457931518555,187.3936996459961,238.2703628540039,387.24890899658203,880.0809745788574,381.0181541442871,874.0293040293041,410.5494505494505,30.144986047599165,0.04520453879748799,1.0,454.6806388374391,0.024807449542179668,True,7.47967124389267,8.135609184615818,158.0471513952956,0.007135275044393845,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.7989037036895752,4,6,0.9923006296157837,0.7628776729106903,False,,,,,False,,,,876.3031539916992,395.4545593261719,890.2148132324219,237.25445175170898,158.81060512258497,4,0,True,3,0.04830006315474287,0.3807314142012484,779.6065979003906,183.0379981994629,222.03713989257812,405.1891746520996,890.6251678466797,385.6325855255127,872.6923076923076,410.65934065934056,30.788406029621676,0.045987988141990385,1.0,462.03761616011957,0.046549256077888644,True,6.771376407631848,8.449904160355745,158.0471513952956,0.04365251500779923,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.8209959864616394,4,6,0.9898213744163513,0.9193497598171234,False,,,,,False,,,,867.3979644775391,389.7659149169922,892.1786575317383,233.3035888671875,158.4125696438317,5,0,True,4,0.1168504280347826,0.18648404215064274,798.3154754638672,182.32266235351562,201.99949645996094,413.2182312011719,899.3152236938477,388.93177795410156,871.3553113553113,410.7692307692308,35.4771904669977,0.05278371691343348,1.0,459.94902235693786,0.01321500441319487,True,10.56707506821066,4.4120292342919685,158.0471513952956,0.0025184603154140357,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.6908155083656311,4,6,0.9760631024837494,0.44543951749801636,False,,,,,False,,,,868.1856994628906,387.33448028564453,888.5348052978516,241.79675674438477,146.95344528746034,5,0,True,4,0.028985776122683157,0.4157553904984757,785.4013824462891,177.4726390838623,201.74339294433594,323.4198169708252,886.273078918457,339.1825475692749,870.018315018315,410.8791208791208,73.516093298158,0.10895070258418116,1.0,381.18338710669804,0.49836795256902267,True,2.5558561723351216,9.241837463007924,158.0471513952956,0.07250446626342952,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9414149522781372,4,6,0.9979164004325867,0.9860947728157043,False,,,,,False,,,,866.8055191040039,392.9274215698242,880.6442642211914,236.79505920410156,156.74445905460203,3,0,True,2,0.023559611640248165,0.34962195169310517,778.7771682739258,181.04462814331055,219.63054656982422,431.45036697387695,888.5924415588379,396.769811630249,868.6813186813188,410.989010989011,24.467089010503102,0.03611853529690966,1.0,484.1353076862426,0.6514000389798167,True,5.760719575828891,9.342249020815933,158.0471513952956,0.06194995405297213,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
